feature,feature_value,precision,recall,f_beta
workclass,State-gov,0.9587020648967551,0.9206798866855525,0.9393063583815029
workclass,Self-emp-not-inc,0.962852897473997,0.8950276243093923,0.9277022190408017
workclass,Private,0.9565035549979088,0.921619987910538,0.938737814263725
workclass,Federal-gov,0.9691011235955056,0.9299191374663073,0.9491059147180193
workclass,Local-gov,0.9526226734348562,0.9124797406807131,0.9321192052980133
workclass,?,0.9657142857142857,0.8848167539267016,0.9234972677595629
workclass,Self-emp-inc,0.9523809523809523,0.9646302250803859,0.9584664536741214
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,Bachelors,0.9527487505679236,0.9441692931112111,0.9484396200814109
education,HS-grad,0.9466237942122186,0.8788059701492538,0.9114551083591331
education,11th,0.9811320754716981,0.8666666666666667,0.9203539823008849
education,Masters,0.9745762711864406,0.959332638164755,0.9668943772990015
education,9th,1.0,0.8518518518518519,0.92
education,Some-college,0.953810623556582,0.893294881038212,0.9225614296351452
education,Assoc-acdm,0.9529411764705882,0.9169811320754717,0.9346153846153846
education,Assoc-voc,0.9618768328445748,0.9085872576177285,0.9344729344729344
education,7th-8th,0.9722222222222222,0.875,0.9210526315789473
education,Doctorate,0.9577922077922078,0.9640522875816994,0.9609120521172638
education,Prof-school,0.9765807962529274,0.9858156028368794,0.9811764705882353
education,5th-6th,1.0,0.875,0.9333333333333333
education,10th,0.9818181818181818,0.8709677419354839,0.923076923076923
education,1st-4th,1.0,0.6666666666666666,0.8
education,Preschool,1.0,1.0,1.0
education,12th,1.0,0.9393939393939394,0.96875
marital-status,Never-married,0.9861111111111112,0.8676171079429735,0.9230769230769231
marital-status,Married-civ-spouse,0.9528979966355712,0.9311117752540347,0.941878920716499
marital-status,Divorced,0.980440097799511,0.8660907127429806,0.9197247706422019
marital-status,Married-spouse-absent,1.0,0.8529411764705882,0.9206349206349206
marital-status,Separated,1.0,0.8787878787878788,0.9354838709677419
marital-status,Married-AF-spouse,1.0,0.7,0.8235294117647058
marital-status,Widowed,1.0,0.8470588235294118,0.9171974522292993
occupation,Adm-clerical,0.9463917525773196,0.9053254437869822,0.9254032258064515
occupation,Exec-managerial,0.9580991313234543,0.9527439024390244,0.9554140127388535
occupation,Handlers-cleaners,0.9857142857142858,0.8023255813953488,0.8846153846153846
